control_mode,avg_duration_mean,avg_duration_std,avg_duration_min,avg_duration_max,avg_duration_median,avg_emission_mean,avg_emission_std,avg_emission_min,avg_emission_max,avg_emission_median,avg_speed_mean,avg_speed_std,avg_speed_min,avg_speed_max,avg_speed_median,avg_timeLoss_mean,avg_timeLoss_std,avg_timeLoss_min,avg_timeLoss_max,avg_timeLoss_median,perc_change_avg_duration,perc_change_avg_emission,perc_change_avg_speed,perc_change_avg_timeLoss
baseline,212.29229251906602,4.173261456257089,206.62907580477673,224.07221371448017,212.6368895809331,3576.738370518918,886.2340016052301,2391.7959354526365,5894.194108369448,3536.2007446302423,21.657158034907944,0.2671893061916295,21.096707835842732,22.08093688307323,21.57967259816794,53.85088592744052,4.2382440638906855,48.72881952232615,65.95831138335896,54.40573806716763,0.0,0.0,0.0,0.0
lower_limit,220.32799316885487,2.3284891655954225,216.08955719863752,223.61804399419077,220.68699611349092,3909.722785683793,573.5856528152441,2747.629942693981,4890.105395696566,3986.607198345572,20.641233490516314,0.19895769701572183,20.391886528428376,20.982500062659796,20.592682585955842,53.993912365859025,2.3957897155394527,50.14295806388411,57.195246236883065,54.30300374824388,3.7852060262937535,9.309722452989064,-4.690941178681522,0.26559718740972654
predictive,214.1768614144145,5.553560994337433,207.6460081415635,232.21171011618023,213.65169490366395,3410.3605048762593,764.6153856014079,2277.6042594010814,5061.13438504074,3501.685491763981,21.514069175054264,0.28954405732004723,20.879387471530556,21.96844355164859,21.477891279711997,54.55518480470468,5.444883624851284,48.944853368779775,72.51610477472357,54.10236994075933,0.8877236535467844,-4.651664405035042,-0.6607000771894611,1.307868691729864
predictive_30,287.8583842590685,299.11290373509206,207.63541580127935,1409.4508587394198,213.10755256645047,4983.879330749985,6360.486713505141,2416.8296221911287,28705.236073668533,3507.9616220538683,21.277434558745103,1.129547677657729,17.153531151571055,21.98307371452348,21.488925922728335,118.1097168516643,258.4697351276051,48.879922602135494,1087.2835520585063,53.44765345083021,35.595306284242916,39.34145622250018,-1.7533393603666108,119.32734219230316
predictive_round2,212.90031073580914,2.5441695208056276,207.5479730852301,215.63249259675277,213.90939017773303,3380.202935123991,457.53854096733363,2592.6354090361565,4058.2261760007223,3327.4636792535875,21.55238034585335,0.2301366034549376,21.256056267896213,21.996030579044405,21.48515185447621,53.19445960403519,2.460351257653015,48.66976484420935,56.27165730623905,54.07689128878964,0.2864061664831815,-5.494822797632059,-0.48380165525738916,-1.2189703327997479
predictive_round5,214.0213243495004,3.0092409237965145,208.9147592738753,219.23315756722235,214.23313225486925,3578.656063310803,715.4163477840382,2425.910992306631,5152.232171152809,3615.2329488214837,21.44878148424186,0.2513397111249262,21.054765751697275,21.896100668046433,21.40324063279091,53.38536159220215,2.8508074652992077,48.6291309033902,58.01328890053416,53.62433611044263,0.8144581274796309,0.053615685387872675,-0.9621601796976976,-0.8644692231537752
reactive_rule,212.96614831005726,2.745725699131024,207.96473813182703,216.36198093941456,213.51963159624864,3408.6154882494247,551.4175354063077,2370.176171717663,4116.692760476543,3548.2625645629005,21.52115050641865,0.24230474444277297,21.216336963711814,21.938071269492976,21.442881976421596,53.111545197743844,2.595865896406351,49.00754923092016,56.58056739278443,53.869695012786536,0.31741886763539523,-4.700452335436038,-0.6280026597675996,-1.3729406990497373
