control_mode,avg_duration_mean,avg_duration_std,avg_duration_min,avg_duration_max,avg_duration_median,avg_emission_mean,avg_emission_std,avg_emission_min,avg_emission_max,avg_emission_median,avg_speed_mean,avg_speed_std,avg_speed_min,avg_speed_max,avg_speed_median,avg_timeLoss_mean,avg_timeLoss_std,avg_timeLoss_min,avg_timeLoss_max,avg_timeLoss_median,perc_change_avg_duration,perc_change_avg_emission,perc_change_avg_speed,perc_change_avg_timeLoss
baseline,209.3532868545636,2.0611054180285766,205.65249166400216,212.3444689568232,209.57258064516128,3553.0579658286706,513.1877643649162,2685.4131051986747,4529.083074541094,3549.5444097947293,21.791812867004484,0.1358673947220249,21.581582486405228,22.061127248779353,21.762747883690807,51.68109880504629,1.963464128707852,48.22038551135105,54.81995981720752,51.74841311134259,0.0,0.0,0.0,0.0
lower_limit,218.1801854317197,1.826994944693654,215.11926731226015,221.31631369616207,218.3627511698321,3960.4137564700577,427.4789121087944,3010.977273346627,4432.899312030496,3972.2568649091377,20.71584978215377,0.13380532793096642,20.503220670894652,20.926902060252463,20.709811920522935,52.54497174982936,1.7439006075911667,49.64456148364696,55.40822347622093,52.918459262317626,4.216269402681072,11.464935122339908,-4.937464778250987,1.6715452356030738
predictive,211.01226834259737,1.9801443724821144,207.70348040559057,214.62033448908832,211.05033190160097,3359.9504351668415,404.6842505186943,2846.1286016872873,3953.901145255171,3470.8009034018673,21.59143912276022,0.1600268508160901,21.330015888372717,21.86212959089338,21.578268712323215,51.515400593198905,1.7878096264038215,48.71894034895409,54.65010877693881,51.23144417817898,0.7924315461959973,-5.434967076783705,-0.9194909366519673,-0.3206166580792698
predictive_30,210.8170200486286,2.006373783507,207.52169544167353,214.1881161193827,211.08907720545164,3488.9647735058993,424.19749313626966,2739.270875060696,4233.016265457464,3510.206660287556,21.59933356581488,0.16208667779697944,21.34681280348815,21.87249158437331,21.58752277118011,51.31952138728519,1.8187815052770335,48.5539604457844,54.21710313413554,51.253332291951494,0.6991689579164964,-1.8038881701110387,-0.8832642899620395,-0.6996318308266927
predictive_round2,211.3775057792817,2.070067941688621,207.3602978120861,214.56414004078857,211.51073967038977,3424.8702836547227,489.9604022786292,2754.545252946949,4095.087145321446,3481.9947055544503,21.556061600787345,0.16502601164218172,21.323715293567066,21.87392951275045,21.544843080075875,51.65764243559309,1.8557291678833272,48.17560407436168,54.433509517334954,51.466925720534334,0.9668913992854151,-3.607812858860889,-1.0818341165828211,-0.04538674679051059
predictive_round5,212.12129802260594,2.302945515554546,208.012925915776,216.45630077846144,212.494481400275,3543.9577178847912,404.90250442723897,3009.880401856195,4313.207286812096,3537.5344771167142,21.490631262440953,0.16841137596514574,21.226813035644845,21.81154165856149,21.46892736936579,51.79378223738267,2.0921423744647547,48.351748880972,55.6927116973177,51.55511910513193,1.3221723000533805,-0.2561243872574125,-1.382086044890546,0.21803606142634802
reactive_rule,210.74945633095805,1.9532834482596304,206.93893304101584,213.8780678496159,211.0554293971924,3526.2003101719315,415.6244828008527,3012.974070806364,4246.504967488508,3519.992063247595,21.605827317408508,0.16924332753816682,21.31702161607501,21.904192607162063,21.577562545574047,51.62637357801804,1.699534969328965,48.173549831003875,53.843528451967885,51.890237026045426,0.6668963728113607,-0.7559025469058216,-0.8534652473892229,-0.10589021575312631
